Evid,Magnitude,Magnitude Type,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
61371382,1.5,l,1525793221.94,2018/05/08 15:27:01,2018/05/08 08:27:01 PDT,"6.3 km from Bremerton, WA",47.59,-122.5530,18.9,11.7
61370492,1.0,l,1525634493.75,2018/05/06 19:21:33,2018/05/06 12:21:33 PDT,"7.7 km from Bremerton, WA",47.5993,-122.5397,18.8,11.6
61365397,0.9,l,1524546049.19,2018/04/24 05:00:49,2018/04/23 22:00:49 PDT,"3.2 km from Bremerton, WA",47.5922,-122.6095,22.7,14.1
61378401,0.5,d,1523370999.38,2018/04/10 14:36:39,2018/04/10 07:36:39 PDT,"6.8 km from Bremerton, WA",47.5828,-122.5435,22.1,13.7
61377731,1.6,l,1523025631.2,2018/04/06 14:40:31,2018/04/06 07:40:31 PDT,"2.1 km from Bremerton, WA",47.5832,-122.6153,24.6,15.2
61355832,0.9,l,1521414334.15,2018/03/18 23:05:34,2018/03/18 16:05:34 PDT,"1.4 km from Bremerton, WA",47.5732,-122.6137,19.2,11.9
61368206,0.8,l,1518152064.3,2018/02/09 04:54:24,2018/02/08 20:54:24 PST,"2.7 km from Bremerton, WA",47.5472,-122.6090,4.6,2.9
61366796,1.3,l,1517786059.99,2018/02/04 23:14:19,2018/02/04 15:14:19 PST,"1.7 km from Bremerton, WA",47.5677,-122.6070,18.2,11.3
61344617,1.6,l,1516857500.76,2018/01/25 05:18:20,2018/01/24 21:18:20 PST,"5.8 km from Bremerton, WA",47.589,-122.5603,20.0,12.4
61343992,1.2,l,1516522757.94,2018/01/21 08:19:17,2018/01/21 00:19:17 PST,"8.4 km from Bremerton, WA",47.5962,-122.5277,19.6,12.1
61343967,1.5,l,1516492850.37,2018/01/21 00:00:50,2018/01/20 16:00:50 PST,"6.9 km from Bremerton, WA",47.5925,-122.5470,16.9,10.5
61343902,1.5,l,1516441857.96,2018/01/20 09:50:57,2018/01/20 01:50:57 PST,"5.2 km from Bremerton, WA",47.594,-122.5737,20.7,12.8
61361831,1.9,l,1514745820.55,2017/12/31 18:43:40,2017/12/31 10:43:40 PST,"2.9 km from Bremerton, WA",47.5778,-122.5948,24.4,15.1
61330352,2.2,l,1511367748.81,2017/11/22 16:22:28,2017/11/22 08:22:28 PST,"5.9 km from Bremerton, WA",47.5935,-122.5628,22.1,13.7
61348986,1.1,l,1509789161.35,2017/11/04 09:52:41,2017/11/04 02:52:41 PDT,"6.6 km from Bremerton, WA",47.6002,-122.5582,18.5,11.5
61324507,1.3,l,1509521931.7,2017/11/01 07:38:51,2017/11/01 00:38:51 PDT,"8.2 km from Bremerton, WA",47.6353,-122.5915,22.8,14.2
61323252,1.4,l,1509277875.65,2017/10/29 11:51:15,2017/10/29 04:51:15 PDT,"8.4 km from Bremerton, WA",47.5417,-122.5242,28.0,17.4
61333296,1.5,l,1506278869.25,2017/09/24 18:47:49,2017/09/24 11:47:49 PDT,"4.7 km from Bremerton, WA",47.593,-122.5818,25.0,15.5
61330431,1.0,l,1505678333.06,2017/09/17 19:58:53,2017/09/17 12:58:53 PDT,"8.1 km from Bremerton, WA",47.6037,-122.5365,19.5,12.1
61303752,0.7,l,1504652470.94,2017/09/05 23:01:10,2017/09/05 16:01:10 PDT,"9.4 km from Bremerton, WA",47.6145,-122.5273,18.5,11.5
61303337,1.1,l,1504558293.7,2017/09/04 20:51:33,2017/09/04 13:51:33 PDT,"6.8 km from Bremerton, WA",47.5917,-122.5468,19.6,12.2
61302582,1.2,l,1504369635.3,2017/09/02 16:27:15,2017/09/02 09:27:15 PDT,"7.3 km from Bremerton, WA",47.602,-122.5480,18.8,11.6
61300932,1.0,l,1504084334.91,2017/08/30 09:12:14,2017/08/30 02:12:14 PDT,"8.3 km from Bremerton, WA",47.6072,-122.5368,18.3,11.4
61300247,1.3,l,1503971859.73,2017/08/29 01:57:39,2017/08/28 18:57:39 PDT,"6.7 km from Bremerton, WA",47.5975,-122.5535,20.6,12.8
61297002,0.9,l,1503387300.72,2017/08/22 07:35:00,2017/08/22 00:35:00 PDT,"7.0 km from Bremerton, WA",47.5953,-122.5470,20.1,12.5
61315196,1.5,l,1502962762.76,2017/08/17 09:39:22,2017/08/17 02:39:22 PDT,"3.8 km from Bremerton, WA",47.5915,-122.5960,24.9,15.4
61313711,0.7,l,1502717212.63,2017/08/14 13:26:52,2017/08/14 06:26:52 PDT,"9.9 km from Bremerton, WA",47.5955,-122.5062,19.6,12.2
61313566,0.9,l,1502680778,2017/08/14 03:19:38,2017/08/13 20:19:38 PDT,"7.0 km from Bremerton, WA",47.5967,-122.5488,19.9,12.3
61313341,1.1,l,1502659544.5,2017/08/13 21:25:44,2017/08/13 14:25:44 PDT,"7.3 km from Bremerton, WA",47.5875,-122.5387,19.6,12.2
61313286,0.7,l,1502646806.8,2017/08/13 17:53:26,2017/08/13 10:53:26 PDT,"7.6 km from Bremerton, WA",47.591,-122.5355,19.6,12.1
